tweet_id,favorites,retweets,user_followers,user_favourites,date_time
744223424764059648,1602,347,8957997,146001,2016-06-18 17:41:06+00:00
743980027717509120,4038,1053,8957997,146001,2016-06-18 01:33:55+00:00
743895849529389061,3541,931,8957997,146001,2016-06-17 19:59:26+00:00
743835915802583040,0,1987,8957997,146001,2016-06-17 16:01:16+00:00
743609206067040256,4327,1335,8957997,146001,2016-06-17 01:00:24+00:00
743595368194129920,17698,6272,8957997,146001,2016-06-17 00:05:25+00:00
743545585370791937,3423,907,8957997,146001,2016-06-16 20:47:36+00:00
743510151680958465,7668,3581,8957997,146001,2016-06-16 18:26:48+00:00
743253157753532416,4100,1176,8957997,146001,2016-06-16 01:25:36+00:00
743222593470234624,6001,1837,8957998,146001,2016-06-15 23:24:09+00:00
743210557239623680,3712,1311,8957998,146001,2016-06-15 22:36:19+00:00
742534281772302336,6816,3429,8957998,146001,2016-06-14 01:49:03+00:00
742528092657332225,4265,1881,8957998,146001,2016-06-14 01:24:27+00:00
742465774154047488,7016,3765,8957998,146001,2016-06-13 21:16:49+00:00
742423170473463808,9484,3583,8957998,146001,2016-06-13 18:27:32+00:00
742385895052087300,6572,1880,8957998,146001,2016-06-13 15:59:24+00:00
742161199639494656,4162,1309,8957998,146001,2016-06-13 01:06:33+00:00
742150209887731712,4936,1484,8957999,146001,2016-06-13 00:22:53+00:00
741793263812808706,4400,1444,8957999,146001,2016-06-12 00:44:30+00:00
741743634094141440,7884,2634,8957999,146001,2016-06-11 21:27:17+00:00
741438259667034112,3572,785,8957999,146001,2016-06-11 01:13:51+00:00
741303864243200000,8483,3076,8957999,146001,2016-06-10 16:19:48+00:00
741099773336379392,9638,5293,8957999,146001,2016-06-10 02:48:49+00:00
741067306818797568,9211,2960,8957999,146001,2016-06-10 00:39:48+00:00
740995100998766593,6129,2607,8957999,146001,2016-06-09 19:52:53+00:00
740711788199743490,3285,903,8957999,146001,2016-06-09 01:07:06+00:00
740699697422163968,2754,747,8957999,146001,2016-06-09 00:19:04+00:00
740676976021798912,17526,6553,8957999,146001,2016-06-08 22:48:46+00:00
740373189193256964,33743,12785,8957999,146001,2016-06-08 02:41:38+00:00
740365076218183684,2368,413,8957999,146001,2016-06-08 02:09:24+00:00
740359016048689152,3178,825,8957999,146001,2016-06-08 01:45:19+00:00
740214038584557568,6455,1880,8957999,146001,2016-06-07 16:09:13+00:00
739979191639244800,19246,5676,8957999,146001,2016-06-07 00:36:02+00:00
739932936087216128,3913,1038,8957999,146001,2016-06-06 21:32:13+00:00
739844404073074688,3670,825,8957999,146001,2016-06-06 15:40:26+00:00
739623569819336705,3629,1304,8957999,146001,2016-06-06 01:02:55+00:00
739606147276148736,5215,1588,8957999,146001,2016-06-05 23:53:41+00:00
739544079319588864,38030,20292,8957999,146001,2016-06-05 19:47:03+00:00
739485634323156992,6888,2799,8957999,146001,2016-06-05 15:54:48+00:00
739238157791694849,111560,55590,8957999,146001,2016-06-04 23:31:25+00:00
738891149612572673,102,6,8958000,146001,2016-06-04 00:32:32+00:00
738885046782832640,3643,1099,8958000,146001,2016-06-04 00:08:17+00:00
738883359779196928,3187,757,8958000,146001,2016-06-04 00:01:35+00:00
738537504001953792,4903,1470,8958000,146001,2016-06-03 01:07:16+00:00
738402415918125056,3146,791,8958000,146001,2016-06-02 16:10:29+00:00
738184450748633089,4170,1165,8958000,146001,2016-06-02 01:44:22+00:00
738166403467907072,8441,3199,8958000,146001,2016-06-02 00:32:39+00:00
738156290900254721,2411,617,8958000,146001,2016-06-01 23:52:28+00:00
737826014890496000,5082,1694,8958000,146001,2016-06-01 02:00:04+00:00
737800304142471168,9648,3319,8958001,146001,2016-06-01 00:17:54+00:00
737678689543020544,4849,1259,8958001,146001,2016-05-31 16:14:39+00:00
737445876994609152,9863,4259,8958001,146001,2016-05-31 00:49:32+00:00
737322739594330112,3467,776,8958001,146001,2016-05-30 16:40:14+00:00
737310737551491075,14098,7107,8958001,146001,2016-05-30 15:52:33+00:00
736736130620620800,4084,1650,8958001,146001,2016-05-29 01:49:16+00:00
736392552031657984,17028,7036,8958001,146001,2016-05-28 03:04:00+00:00
736365877722001409,3842,1188,8958001,146001,2016-05-28 01:18:00+00:00
736225175608430592,7804,2669,8958001,146001,2016-05-27 15:58:54+00:00
736010884653420544,7593,2848,8958001,146001,2016-05-27 01:47:23+00:00
735991953473572864,3454,1099,8958001,146001,2016-05-27 00:32:10+00:00
735648611367784448,3893,1057,8958001,146001,2016-05-26 01:47:51+00:00
735635087207878657,5944,2250,8958001,146001,2016-05-26 00:54:06+00:00
735274964362878976,12554,4806,8958001,146001,2016-05-25 01:03:06+00:00
735256018284875776,3207,844,8958001,146001,2016-05-24 23:47:49+00:00
735137028879360001,3014,934,8958001,146001,2016-05-24 15:55:00+00:00
734912297295085568,2646,509,8958001,146001,2016-05-24 01:02:00+00:00
734787690684657664,12064,6032,8958001,146001,2016-05-23 16:46:51+00:00
734776360183431168,2418,510,8958001,146001,2016-05-23 16:01:50+00:00
734559631394082816,1437,379,8958001,146001,2016-05-23 01:40:38+00:00
733828123016450049,3446,751,8958001,146001,2016-05-21 01:13:53+00:00
733822306246479872,3542,981,8958001,146001,2016-05-21 00:50:46+00:00
733482008106668032,3005,907,8958001,146001,2016-05-20 02:18:32+00:00
733460102733135873,4024,1214,8958001,146001,2016-05-20 00:51:30+00:00
733109485275860992,51403,16357,8958001,146001,2016-05-19 01:38:16+00:00
732732193018155009,2341,513,8958001,146001,2016-05-18 00:39:02+00:00
732726085725589504,3429,853,8958001,146001,2016-05-18 00:14:46+00:00
732585889486888962,3517,749,8958001,146001,2016-05-17 14:57:41+00:00
732375214819057664,7778,2400,8958001,146001,2016-05-17 01:00:32+00:00
732005617171337216,14307,5142,8958001,146001,2016-05-16 00:31:53+00:00
731285275100512256,3371,955,8958001,146001,2016-05-14 00:49:30+00:00
731156023742988288,3698,1214,8958001,146001,2016-05-13 16:15:54+00:00
730924654643314689,5912,1895,8958001,146001,2016-05-13 00:56:32+00:00
730573383004487680,4692,2041,8958001,146001,2016-05-12 01:40:42+00:00
730427201120833536,3353,990,8958001,146001,2016-05-11 15:59:50+00:00
730211855403241472,3668,1018,8958001,146001,2016-05-11 01:44:07+00:00
730196704625098752,4655,1799,8958001,146001,2016-05-11 00:43:55+00:00
729854734790754305,3878,1077,8958001,146001,2016-05-10 02:05:03+00:00
729838605770891264,1665,362,8958001,146001,2016-05-10 01:00:58+00:00
729823566028484608,3821,1190,8958001,146001,2016-05-10 00:01:12+00:00
729463711119904772,5563,2209,8958001,146001,2016-05-09 00:11:16+00:00
729113531270991872,1809,304,8958001,146001,2016-05-08 00:59:46+00:00
728986383096946689,3021,782,8958001,146001,2016-05-07 16:34:32+00:00
728760639972315136,4486,1630,8958001,146001,2016-05-07 01:37:30+00:00
728751179681943552,2662,647,8958001,146001,2016-05-07 00:59:55+00:00
728653952833728512,3191,997,8958001,146001,2016-05-06 18:33:34+00:00
728409960103686147,4714,1908,8958001,146001,2016-05-06 02:24:02+00:00
728387165835677696,3573,920,8958001,146001,2016-05-06 00:53:27+00:00
728046963732717569,4122,1153,8958001,146001,2016-05-05 02:21:37+00:00
728035342121635841,4376,1599,8958001,146001,2016-05-05 01:35:26+00:00
